bug_type,num_rows,example_source_id,example_category,example_bug_family,example_original_statement,example_buggy_statement,example_targeted_oracle,example_expected_failure_mode,example_file_name_updated,proposed_mutation_type,review_notes
PTR_HEAP_INCREMENT_TO_ASSIGN,1,tests/4.5/target_enter_exit_data/test_target_enter_exit_data_map_pointer_translation.c,target_enter_exit_data,loop_body,ptr_h_array_h[i] += 1;,ptr_h_array_h[i] = 1;,"OMPVV_TEST_AND_SET_VERBOSE(errors, (3*N != sum) || (6*N != sum2))",heap pointer total becomes too small because increments are overwritten,test_target_enter_exit_data_pointer_translation_PTR_HEAP_INCREMENT_TO_ASSIGN.c,,
PTR_STACK_INCREMENT_TO_ASSIGN,1,tests/4.5/target_enter_exit_data/test_target_enter_exit_data_map_pointer_translation.c,target_enter_exit_data,loop_body,ptr_h_array_s[i] += 2;,ptr_h_array_s[i] = 2;,"OMPVV_TEST_AND_SET_VERBOSE(errors, (3*N != sum) || (6*N != sum2))",stack pointer total becomes too small because increments are overwritten,test_target_enter_exit_data_pointer_translation_PTR_STACK_INCREMENT_TO_ASSIGN.c,,
REPLACE_EXPLICIT_TASK_QUERY_WITH_ZERO,1,tests/5.2/runtime_calls/test_omp_in_explicit_task.c,runtime_calls,runtime_query,A[i] = omp_in_explicit_task();,A[i] = 0;,A[i] != 0 after explicit task section,explicit-task section records zero instead of omp_in_explicit_task result,test_omp_in_explicit_task_FORCE_ZERO.c,,
REPLACE_IMPLICIT_TASK_QUERY_WITH_ONE,1,tests/5.2/runtime_calls/test_omp_in_explicit_task.c,runtime_calls,runtime_query,A[i] = omp_in_explicit_task();,A[i] = 1;,A[i] == 0 after implicit parallel-for section,implicit-task section records one instead of zero,test_omp_in_explicit_task_FORCE_ONE_IN_IMPLICIT.c,,
REPLACE_OMP_IS_INITIAL_DEVICE_WITH_ONE,1,tests/4.5/offloading_success.c,offloading_success.c,runtime_query,{ isHost = omp_is_initial_device(); },{ isHost = 1; },return isHost; expected 0 when target region executes on device,target region reports host execution even when offloading succeeds,offloading_success_FORCE_HOST_VALUE.c,,
SCALAR_ENUM_VAL4_TO_VAL3,1,tests/4.5/target/test_target_defaultmap.c,target,loop_body,scalar_enum = VAL4;,scalar_enum = VAL3;,"OMPVV_TEST_AND_SET_VERBOSE(errors, scalar_enum != VAL4)",scalar enum receives VAL3 instead of VAL4,test_target_defaultmap_SCALAR_ENUM_VAL4_TO_VAL3.c,,
SCALAR_PLUS25_TO_PLUS24,1,tests/5.0/target/test_target_map_with_close_modifier.c,target,loop_body,scalar += 25;,scalar += 24;,oracle checks scalar == 44,scalar update produces 43 instead of 44,test_target_map_with_close_modifier_SCALAR_PLUS25_TO_PLUS24.c,,
SCALAR_PLUS53_TO_PLUS52,1,tests/5.0/program_control/test_omp_target_offload_env_DEFAULT.c,program_control,loop_body,scalar = scalar + 53;,scalar = scalar + 52;,oracle checks scalar == 70 after target region,target scalar update produces 69 instead of 70,test_omp_target_offload_env_DEFAULT_SCALAR_PLUS53_TO_PLUS52.c,,
SCHEDULE_STATIC8_TO_STATIC4,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_schedule_private.c,target_teams_distribute_parallel_for,schedule,"schedule(static,8)","schedule(static,4)",checks each block of 8 has values 1..8,"static chunk size changes, breaking expected per-chunk progression",test_target_teams_distribute_parallel_for_schedule_private_SCHEDULE_8_TO_4.c,,
SHARE_INIT_5_TO_6,1,tests/4.5/target_teams_distribute/test_target_teams_distribute_default_shared.c,target_teams_distribute,loop_body,share = 5;,share = 6;,checks a[x] - 5 == x,shared offset becomes 6 instead of 5,test_target_teams_distribute_default_shared_SHARE_INIT_5_TO_6.c,,
SQUARE_TO_DOUBLE,1,tests/5.0/target/test_target_parallel_is_dev_ptr.c,target,loop_body,Dev_B[i] = Hst_A[i] * Hst_A[i];,Dev_B[i] = Hst_A[i] + Hst_A[i];,oracle checks Hst_A[i] == i*i,target computation doubles instead of squares,test_target_parallel_is_dev_ptr_SQUARE_TO_DOUBLE.c,,
STRUCT_COPY_B_PLUS_ONE,1,tests/4.5/target_enter_data/test_target_enter_data_struct.c,target_enter_data,loop_body,singleCopy.b[i] = single.b[i];,singleCopy.b[i] = single.b[i] + 1;,test_struct checks singleCopy.b[i] == single.b[i],copied struct array field is offset by one,test_target_enter_data_struct_COPY_B_PLUS_ONE.c,,
STRUCT_S_10_TO_9,1,tests/5.0/target/test_target_defaultmap_default.c,target,loop_body,new_struct.s = 10; new_struct.S[0] = 10; new_struct.S[1] = 10;,new_struct.s = 9; new_struct.S[0] = 10; new_struct.S[1] = 10;,oracle checks new_struct.s == 10,target writes struct scalar field as 9 instead of 10,test_target_defaultmap_default_STRUCT_S_10_TO_9.c,,
STRUCT_S_7_TO_8,1,tests/5.1/target/test_target_defaultmap_present_aggregate.c,target,loop_body,new_struct.s = 7; new_struct.S[0] = 70; new_struct.S[1] = 700;,new_struct.s = 8; new_struct.S[0] = 70; new_struct.S[1] = 700;,oracle checks new_struct.s == 7,target writes struct field s as 8 instead of 7,test_target_defaultmap_present_aggregate_STRUCT_S_7_TO_8.c,,
SUM_INC_TO_DEC,1,tests/4.5/task/test_target_and_task_nowait.c,task,loop_body,sum++;,sum--;,oracle checks sum == N after target region,target decrements sum instead of incrementing it,test_target_and_task_nowait_SUM_INC_TO_DEC.c,,
TARGET_DATA_IF_GT_TO_LT,1,tests/4.5/target_data/test_target_data_if.c,target_data,condition,#pragma omp target data if(map_size > SIZE_THRESHOLD) map(to: map_size)  \,#pragma omp target data if(map_size < SIZE_THRESHOLD) map(to: map_size)  \,nested test expects device result c[i] == i+1 when map_size > SIZE_THRESHOLD,"target data region executes under the wrong size condition, changing host/device behavior",test_target_data_if_NESTED_IF_GT_TO_LT.c,,
TARGET_DATA_IF_PROC_TO_NOTPROC,1,tests/5.0/target/test_target_parallel_if_device.c,target,condition,"#pragma omp target data map(tofrom: A[0:N], InitDev[0:1]) if(Proc) device(gpu)","#pragma omp target data map(tofrom: A[0:N], InitDev[0:1]) if(!Proc) device(gpu)",oracle checks InitDev[0] matches intended processor selection,target data if-condition is inverted,test_target_parallel_if_device_TARGET_DATA_IF_PROC_TO_NOTPROC.c,,
TARGET_FUNCTION_PLUS1_TO_PLUS2,1,tests/5.0/declare_target/test_declare_target_device_type_nohost.c,declare_target,loop_body,a[i] += 1;,a[i] += 2;,device-path oracle expects a[i] == 6 after host update()+device target_function(),target_function increments a by 2 instead of 1,test_declare_target_device_type_nohost_TARGET_FUNCTION_PLUS1_TO_PLUS2.c,,
TARGET_IF_GT_TO_GE,1,tests/4.5/target/test_target_if.c,target,condition,#pragma omp target if(size > SIZE_THRESHOLD) map(to: size)  \,#pragma omp target if(size >= SIZE_THRESHOLD) map(to: size)  \,for size <= threshold host branch should yield c[i]==0; for size > threshold device branch should yield c[i]==i+1,size equal to threshold follows the wrong execution path,test_target_if_IF_GT_TO_GE.c,,
TARGET_MEMCPY_WRONG_DIRECTION,1,tests/4.5/target_data/test_target_data_map_alloc.c,target_data,runtime_api,"omp_get_initial_device(),
                                  omp_get_default_device());","omp_get_default_device(),
                                  omp_get_initial_device());","OMPVV_TEST_AND_SET_VERBOSE(errors, (N - sum) != 0)","omp_target_memcpy copies in the wrong device direction, so host sum is not updated from d_sum",test_target_data_map_alloc_MEMCPY_WRONG_DIRECTION.c,,
TARGET_VARIANT_MATCH_TO_PARALLEL,1,tests/5.0/declare_variant/test_declare_variant.c,declare_variant,variant_selection,#pragma omp declare variant(t_fn) match(construct = {target}),#pragma omp declare variant(t_fn) match(construct = {parallel}),c[i] == i+2 in target region,"target region no longer selects t_fn, so c is populated by wrong variant",test_declare_variant_target_match_to_parallel.c,,
TARGET_WRITE_100_TO_99,1,tests/4.5/target/test_target_firstprivate.c,target,loop_body,compute_array[p_val][i] = 100;,compute_array[p_val][i] = 99;,oracle checks compute_array[i][j] == 101 after host-side increment,"target initializes row to 99, so final value becomes 100",test_target_firstprivate_TARGET_WRITE_100_TO_99.c,,
THREAD_NUM_PLUS_ONE,1,tests/5.1/metadirective/test_metadirective_device.c,metadirective,loop_body,A[i] = omp_get_thread_num();,A[i] = omp_get_thread_num() + 1;,oracle checks A[i] == 0,loop writes thread id plus one,test_metadirective_device_THREAD_NUM_PLUS_ONE.c,,
TICKET_INCREMENT_TO_NOOP,1,tests/4.5/target_teams_distribute/test_target_teams_distribute_nowait.c,target_teams_distribute,loop_body,my_ticket = ticket[0]++;,my_ticket = ticket[0];,checks ticket[0] == N_TASKS*N,ticket counter is never incremented,test_target_teams_distribute_nowait_TICKET_INCREMENT_TO_NOOP.c,,
UPDATE_B_X2_TO_X3,1,tests/4.5/target_update/test_target_update_to.c,target_update,loop_body,b[i] = b[i] * 2;,b[i] = b[i] * 3;,oracle checks c[i] == 16,host b becomes 6 instead of 4 before update-to,test_target_update_to_UPDATE_B_X2_TO_X3.c,,
VAL_PLUS2_TO_PLUS1,1,tests/5.0/target/test_target_parallel_linear.c,target,loop_body,val += 2;,val += 1;,oracle checks A[i] == (i+1)*2,loop increments linear variable by 1 instead of 2,test_target_parallel_linear_VAL_PLUS2_TO_PLUS1.c,,
WRONG_HOST_ACCUMULATION,1,tests/4.5/target_data/test_target_data_use_device_ptr.c,target_data,loop_body,array_host[i] += array_device[i];,array_host[i] += 1;,"OMPVV_TEST_AND_SET(errors, array_host[i] != 2*i)",array_host becomes i+1 instead of 2*i,test_target_data_use_device_ptr_WRONG_HOST_ACCUMULATION.c,,
WRONG_PREFIX_INDEX,1,tests/5.0/loop/test_loop_collapse_device.c,loop,loop_body,b[x][y][z + 1] = b[x][y][z] + a[x][y][z];,b[x][y][z] = b[x][y][z] + a[x][y][z];,oracle compares b prefix sums against sequential temp_total,prefix result is written to current index instead of next index,test_loop_collapse_device_WRONG_PREFIX_INDEX.c,,
WRONG_PRODUCT_OPERATOR,1,tests/4.5/application_kernels/mmm_target.c,application_kernels,loop_body,c[i*rowA+j] = a[i*rowA+j] * b[k*colA+j];,c[i*rowA+j] = a[i*rowA+j] + b[k*colA+j];,"OMPVV_TEST_AND_SET(error, 500 != c[i*rowA+j])",computed matrix value becomes 60 instead of expected 500,mmm_target_WRONG_PRODUCT_PLUS.c,,
X_INC_TO_PLUS2,1,tests/5.0/atomic/test_atomic_num_hint_device.c,atomic,loop_body,x++;,x += 2;,oracle checks x == num_threads,each thread increments x by 2 instead of 1,test_atomic_num_hint_device_X_INC_TO_PLUS2.c,,
X_PLUS1_TO_PLUS2,1,tests/5.0/target_teams_distribute_parallel_for_simd/test_target_teams_distribute_parallel_for_simd_atomic.c,target_teams_distribute_parallel_for_simd,loop_body,x += 1;,x += 2;,oracle checks x == N,each iteration increments by 2 instead of 1,test_target_teams_distribute_parallel_for_simd_atomic_X_PLUS1_TO_PLUS2.c,,
ZERO_LENGTH_POINTER_TO_FULL_MAP,1,tests/4.5/target/test_target_map_zero_length_pointer.c,target,target_mapping,#pragma omp target,#pragma omp target map(p[0:N]),test specifically checks implicit zero-length pointer mapping rule,pointer is explicitly mapped as full section instead of relying on implicit zero-length mapping,test_target_map_zero_length_pointer_TARGET_TO_TARGET_MAP_POINTER_FULL.c,,
